airline,aircraft,type_travel,type_cabin,date,seats_rating,cabin_staff_rating,food_rating,entertainment_rating,wifi_rating,money_rating,review,recommended
austrian-airlines,A320neo,Solo Leisure,Economy Class,February 2021,2.0,3.0,1.0,,,1,"  Make sure you comply with their baggage policy, weight and size. They check just before boarding at the gate. Better pay beforehand, the rates should be better. My backpack was a few cm to big and the extra payment was almost equal to the ticket price itself (850 pesos). The viva employee became aggressive right away, I even didn't complain. I knew my backback was too big (it has a metal frame) though it fits even in the smaller Embraer planes and this was an Airbus. ""You want to fly without your backpack or pay.."" ""so you want to leave it here"" and so on. Another flight with this company got cancelled. I will fly Aeromexico whenever possible instead, the cost is the same in the end. The plane was a new Airbus320neo.",no
austrian-airlines,A320neo,Solo Leisure,Economy Class,February 2021,2.0,3.0,1.0,,,1,"  Make sure you comply with their baggage policy, weight and size. They check just before boarding at the gate. Better pay beforehand, the rates should be better. My backpack was a few cm to big and the extra payment was almost equal to the ticket price itself (850 pesos). The viva employee became aggressive right away, I even didn't complain. I knew my backback was too big (it has a metal frame) though it fits even in the smaller Embraer planes and this was an Airbus. ""You want to fly without your backpack or pay.."" ""so you want to leave it here"" and so on. Another flight with this company got cancelled. I will fly Aeromexico whenever possible instead, the cost is the same in the end. The plane was a new Airbus320neo.",no
austrian-airlines,A320neo,Solo Leisure,Economy Class,February 2021,2.0,3.0,1.0,,,1,"  Make sure you comply with their baggage policy, weight and size. They check just before boarding at the gate. Better pay beforehand, the rates should be better. My backpack was a few cm to big and the extra payment was almost equal to the ticket price itself (850 pesos). The viva employee became aggressive right away, I even didn't complain. I knew my backback was too big (it has a metal frame) though it fits even in the smaller Embraer planes and this was an Airbus. ""You want to fly without your backpack or pay.."" ""so you want to leave it here"" and so on. Another flight with this company got cancelled. I will fly Aeromexico whenever possible instead, the cost is the same in the end. The plane was a new Airbus320neo.",no
austrian-airlines,A320neo,Solo Leisure,Economy Class,February 2021,2.0,3.0,1.0,,,1,"  Make sure you comply with their baggage policy, weight and size. They check just before boarding at the gate. Better pay beforehand, the rates should be better. My backpack was a few cm to big and the extra payment was almost equal to the ticket price itself (850 pesos). The viva employee became aggressive right away, I even didn't complain. I knew my backback was too big (it has a metal frame) though it fits even in the smaller Embraer planes and this was an Airbus. ""You want to fly without your backpack or pay.."" ""so you want to leave it here"" and so on. Another flight with this company got cancelled. I will fly Aeromexico whenever possible instead, the cost is the same in the end. The plane was a new Airbus320neo.",no
austrian-airlines,A320neo,Solo Leisure,Economy Class,February 2021,2.0,3.0,1.0,,,1,"  Make sure you comply with their baggage policy, weight and size. They check just before boarding at the gate. Better pay beforehand, the rates should be better. My backpack was a few cm to big and the extra payment was almost equal to the ticket price itself (850 pesos). The viva employee became aggressive right away, I even didn't complain. I knew my backback was too big (it has a metal frame) though it fits even in the smaller Embraer planes and this was an Airbus. ""You want to fly without your backpack or pay.."" ""so you want to leave it here"" and so on. Another flight with this company got cancelled. I will fly Aeromexico whenever possible instead, the cost is the same in the end. The plane was a new Airbus320neo.",no
austrian-airlines,A320neo,Solo Leisure,Economy Class,February 2021,2.0,3.0,1.0,,,1,"  Make sure you comply with their baggage policy, weight and size. They check just before boarding at the gate. Better pay beforehand, the rates should be better. My backpack was a few cm to big and the extra payment was almost equal to the ticket price itself (850 pesos). The viva employee became aggressive right away, I even didn't complain. I knew my backback was too big (it has a metal frame) though it fits even in the smaller Embraer planes and this was an Airbus. ""You want to fly without your backpack or pay.."" ""so you want to leave it here"" and so on. Another flight with this company got cancelled. I will fly Aeromexico whenever possible instead, the cost is the same in the end. The plane was a new Airbus320neo.",no
austrian-airlines,A320neo,Solo Leisure,Economy Class,February 2021,2.0,3.0,1.0,,,1,"  Make sure you comply with their baggage policy, weight and size. They check just before boarding at the gate. Better pay beforehand, the rates should be better. My backpack was a few cm to big and the extra payment was almost equal to the ticket price itself (850 pesos). The viva employee became aggressive right away, I even didn't complain. I knew my backback was too big (it has a metal frame) though it fits even in the smaller Embraer planes and this was an Airbus. ""You want to fly without your backpack or pay.."" ""so you want to leave it here"" and so on. Another flight with this company got cancelled. I will fly Aeromexico whenever possible instead, the cost is the same in the end. The plane was a new Airbus320neo.",no
austrian-airlines,A320neo,Solo Leisure,Economy Class,February 2021,2.0,3.0,1.0,,,1,"  Make sure you comply with their baggage policy, weight and size. They check just before boarding at the gate. Better pay beforehand, the rates should be better. My backpack was a few cm to big and the extra payment was almost equal to the ticket price itself (850 pesos). The viva employee became aggressive right away, I even didn't complain. I knew my backback was too big (it has a metal frame) though it fits even in the smaller Embraer planes and this was an Airbus. ""You want to fly without your backpack or pay.."" ""so you want to leave it here"" and so on. Another flight with this company got cancelled. I will fly Aeromexico whenever possible instead, the cost is the same in the end. The plane was a new Airbus320neo.",no
austrian-airlines,A320neo,Solo Leisure,Economy Class,February 2021,2.0,3.0,1.0,,,1,"  Make sure you comply with their baggage policy, weight and size. They check just before boarding at the gate. Better pay beforehand, the rates should be better. My backpack was a few cm to big and the extra payment was almost equal to the ticket price itself (850 pesos). The viva employee became aggressive right away, I even didn't complain. I knew my backback was too big (it has a metal frame) though it fits even in the smaller Embraer planes and this was an Airbus. ""You want to fly without your backpack or pay.."" ""so you want to leave it here"" and so on. Another flight with this company got cancelled. I will fly Aeromexico whenever possible instead, the cost is the same in the end. The plane was a new Airbus320neo.",no
austrian-airlines,A320neo,Solo Leisure,Economy Class,February 2021,2.0,3.0,1.0,,,1,"  Make sure you comply with their baggage policy, weight and size. They check just before boarding at the gate. Better pay beforehand, the rates should be better. My backpack was a few cm to big and the extra payment was almost equal to the ticket price itself (850 pesos). The viva employee became aggressive right away, I even didn't complain. I knew my backback was too big (it has a metal frame) though it fits even in the smaller Embraer planes and this was an Airbus. ""You want to fly without your backpack or pay.."" ""so you want to leave it here"" and so on. Another flight with this company got cancelled. I will fly Aeromexico whenever possible instead, the cost is the same in the end. The plane was a new Airbus320neo.",no
austrian-airlines,A320neo,Solo Leisure,Economy Class,February 2021,2.0,3.0,1.0,,,1,"  Make sure you comply with their baggage policy, weight and size. They check just before boarding at the gate. Better pay beforehand, the rates should be better. My backpack was a few cm to big and the extra payment was almost equal to the ticket price itself (850 pesos). The viva employee became aggressive right away, I even didn't complain. I knew my backback was too big (it has a metal frame) though it fits even in the smaller Embraer planes and this was an Airbus. ""You want to fly without your backpack or pay.."" ""so you want to leave it here"" and so on. Another flight with this company got cancelled. I will fly Aeromexico whenever possible instead, the cost is the same in the end. The plane was a new Airbus320neo.",no
austrian-airlines,A320neo,Solo Leisure,Economy Class,February 2021,2.0,3.0,1.0,,,1,"  Make sure you comply with their baggage policy, weight and size. They check just before boarding at the gate. Better pay beforehand, the rates should be better. My backpack was a few cm to big and the extra payment was almost equal to the ticket price itself (850 pesos). The viva employee became aggressive right away, I even didn't complain. I knew my backback was too big (it has a metal frame) though it fits even in the smaller Embraer planes and this was an Airbus. ""You want to fly without your backpack or pay.."" ""so you want to leave it here"" and so on. Another flight with this company got cancelled. I will fly Aeromexico whenever possible instead, the cost is the same in the end. The plane was a new Airbus320neo.",no
austrian-airlines,A320neo,Solo Leisure,Economy Class,February 2021,2.0,3.0,1.0,,,1,"  Make sure you comply with their baggage policy, weight and size. They check just before boarding at the gate. Better pay beforehand, the rates should be better. My backpack was a few cm to big and the extra payment was almost equal to the ticket price itself (850 pesos). The viva employee became aggressive right away, I even didn't complain. I knew my backback was too big (it has a metal frame) though it fits even in the smaller Embraer planes and this was an Airbus. ""You want to fly without your backpack or pay.."" ""so you want to leave it here"" and so on. Another flight with this company got cancelled. I will fly Aeromexico whenever possible instead, the cost is the same in the end. The plane was a new Airbus320neo.",no
austrian-airlines,A320neo,Solo Leisure,Economy Class,February 2021,2.0,3.0,1.0,,,1,"  Make sure you comply with their baggage policy, weight and size. They check just before boarding at the gate. Better pay beforehand, the rates should be better. My backpack was a few cm to big and the extra payment was almost equal to the ticket price itself (850 pesos). The viva employee became aggressive right away, I even didn't complain. I knew my backback was too big (it has a metal frame) though it fits even in the smaller Embraer planes and this was an Airbus. ""You want to fly without your backpack or pay.."" ""so you want to leave it here"" and so on. Another flight with this company got cancelled. I will fly Aeromexico whenever possible instead, the cost is the same in the end. The plane was a new Airbus320neo.",no
austrian-airlines,A320neo,Solo Leisure,Economy Class,February 2021,2.0,3.0,1.0,,,1,"  Make sure you comply with their baggage policy, weight and size. They check just before boarding at the gate. Better pay beforehand, the rates should be better. My backpack was a few cm to big and the extra payment was almost equal to the ticket price itself (850 pesos). The viva employee became aggressive right away, I even didn't complain. I knew my backback was too big (it has a metal frame) though it fits even in the smaller Embraer planes and this was an Airbus. ""You want to fly without your backpack or pay.."" ""so you want to leave it here"" and so on. Another flight with this company got cancelled. I will fly Aeromexico whenever possible instead, the cost is the same in the end. The plane was a new Airbus320neo.",no
austrian-airlines,A320neo,Solo Leisure,Economy Class,February 2021,2.0,3.0,1.0,,,1,"  Make sure you comply with their baggage policy, weight and size. They check just before boarding at the gate. Better pay beforehand, the rates should be better. My backpack was a few cm to big and the extra payment was almost equal to the ticket price itself (850 pesos). The viva employee became aggressive right away, I even didn't complain. I knew my backback was too big (it has a metal frame) though it fits even in the smaller Embraer planes and this was an Airbus. ""You want to fly without your backpack or pay.."" ""so you want to leave it here"" and so on. Another flight with this company got cancelled. I will fly Aeromexico whenever possible instead, the cost is the same in the end. The plane was a new Airbus320neo.",no
austrian-airlines,A320neo,Solo Leisure,Economy Class,February 2021,2.0,3.0,1.0,,,1,"  Make sure you comply with their baggage policy, weight and size. They check just before boarding at the gate. Better pay beforehand, the rates should be better. My backpack was a few cm to big and the extra payment was almost equal to the ticket price itself (850 pesos). The viva employee became aggressive right away, I even didn't complain. I knew my backback was too big (it has a metal frame) though it fits even in the smaller Embraer planes and this was an Airbus. ""You want to fly without your backpack or pay.."" ""so you want to leave it here"" and so on. Another flight with this company got cancelled. I will fly Aeromexico whenever possible instead, the cost is the same in the end. The plane was a new Airbus320neo.",no
austrian-airlines,A320neo,Solo Leisure,Economy Class,February 2021,2.0,3.0,1.0,,,1,"  Make sure you comply with their baggage policy, weight and size. They check just before boarding at the gate. Better pay beforehand, the rates should be better. My backpack was a few cm to big and the extra payment was almost equal to the ticket price itself (850 pesos). The viva employee became aggressive right away, I even didn't complain. I knew my backback was too big (it has a metal frame) though it fits even in the smaller Embraer planes and this was an Airbus. ""You want to fly without your backpack or pay.."" ""so you want to leave it here"" and so on. Another flight with this company got cancelled. I will fly Aeromexico whenever possible instead, the cost is the same in the end. The plane was a new Airbus320neo.",no
austrian-airlines,A320neo,Solo Leisure,Economy Class,February 2021,2.0,3.0,1.0,,,1,"  Make sure you comply with their baggage policy, weight and size. They check just before boarding at the gate. Better pay beforehand, the rates should be better. My backpack was a few cm to big and the extra payment was almost equal to the ticket price itself (850 pesos). The viva employee became aggressive right away, I even didn't complain. I knew my backback was too big (it has a metal frame) though it fits even in the smaller Embraer planes and this was an Airbus. ""You want to fly without your backpack or pay.."" ""so you want to leave it here"" and so on. Another flight with this company got cancelled. I will fly Aeromexico whenever possible instead, the cost is the same in the end. The plane was a new Airbus320neo.",no
austrian-airlines,A320neo,Solo Leisure,Economy Class,February 2021,2.0,3.0,1.0,,,1,"  Make sure you comply with their baggage policy, weight and size. They check just before boarding at the gate. Better pay beforehand, the rates should be better. My backpack was a few cm to big and the extra payment was almost equal to the ticket price itself (850 pesos). The viva employee became aggressive right away, I even didn't complain. I knew my backback was too big (it has a metal frame) though it fits even in the smaller Embraer planes and this was an Airbus. ""You want to fly without your backpack or pay.."" ""so you want to leave it here"" and so on. Another flight with this company got cancelled. I will fly Aeromexico whenever possible instead, the cost is the same in the end. The plane was a new Airbus320neo.",no
austrian-airlines,A320neo,Solo Leisure,Economy Class,February 2021,2.0,3.0,1.0,,,1,"  Make sure you comply with their baggage policy, weight and size. They check just before boarding at the gate. Better pay beforehand, the rates should be better. My backpack was a few cm to big and the extra payment was almost equal to the ticket price itself (850 pesos). The viva employee became aggressive right away, I even didn't complain. I knew my backback was too big (it has a metal frame) though it fits even in the smaller Embraer planes and this was an Airbus. ""You want to fly without your backpack or pay.."" ""so you want to leave it here"" and so on. Another flight with this company got cancelled. I will fly Aeromexico whenever possible instead, the cost is the same in the end. The plane was a new Airbus320neo.",no
austrian-airlines,A320neo,Solo Leisure,Economy Class,February 2021,2.0,3.0,1.0,,,1,"  Make sure you comply with their baggage policy, weight and size. They check just before boarding at the gate. Better pay beforehand, the rates should be better. My backpack was a few cm to big and the extra payment was almost equal to the ticket price itself (850 pesos). The viva employee became aggressive right away, I even didn't complain. I knew my backback was too big (it has a metal frame) though it fits even in the smaller Embraer planes and this was an Airbus. ""You want to fly without your backpack or pay.."" ""so you want to leave it here"" and so on. Another flight with this company got cancelled. I will fly Aeromexico whenever possible instead, the cost is the same in the end. The plane was a new Airbus320neo.",no
austrian-airlines,A320neo,Solo Leisure,Economy Class,February 2021,2.0,3.0,1.0,,,1,"  Make sure you comply with their baggage policy, weight and size. They check just before boarding at the gate. Better pay beforehand, the rates should be better. My backpack was a few cm to big and the extra payment was almost equal to the ticket price itself (850 pesos). The viva employee became aggressive right away, I even didn't complain. I knew my backback was too big (it has a metal frame) though it fits even in the smaller Embraer planes and this was an Airbus. ""You want to fly without your backpack or pay.."" ""so you want to leave it here"" and so on. Another flight with this company got cancelled. I will fly Aeromexico whenever possible instead, the cost is the same in the end. The plane was a new Airbus320neo.",no
austrian-airlines,A320neo,Solo Leisure,Economy Class,February 2021,2.0,3.0,1.0,,,1,"  Make sure you comply with their baggage policy, weight and size. They check just before boarding at the gate. Better pay beforehand, the rates should be better. My backpack was a few cm to big and the extra payment was almost equal to the ticket price itself (850 pesos). The viva employee became aggressive right away, I even didn't complain. I knew my backback was too big (it has a metal frame) though it fits even in the smaller Embraer planes and this was an Airbus. ""You want to fly without your backpack or pay.."" ""so you want to leave it here"" and so on. Another flight with this company got cancelled. I will fly Aeromexico whenever possible instead, the cost is the same in the end. The plane was a new Airbus320neo.",no
austrian-airlines,A320neo,Solo Leisure,Economy Class,February 2021,2.0,3.0,1.0,,,1,"  Make sure you comply with their baggage policy, weight and size. They check just before boarding at the gate. Better pay beforehand, the rates should be better. My backpack was a few cm to big and the extra payment was almost equal to the ticket price itself (850 pesos). The viva employee became aggressive right away, I even didn't complain. I knew my backback was too big (it has a metal frame) though it fits even in the smaller Embraer planes and this was an Airbus. ""You want to fly without your backpack or pay.."" ""so you want to leave it here"" and so on. Another flight with this company got cancelled. I will fly Aeromexico whenever possible instead, the cost is the same in the end. The plane was a new Airbus320neo.",no
austrian-airlines,A320neo,Solo Leisure,Economy Class,February 2021,2.0,3.0,1.0,,,1,"  Make sure you comply with their baggage policy, weight and size. They check just before boarding at the gate. Better pay beforehand, the rates should be better. My backpack was a few cm to big and the extra payment was almost equal to the ticket price itself (850 pesos). The viva employee became aggressive right away, I even didn't complain. I knew my backback was too big (it has a metal frame) though it fits even in the smaller Embraer planes and this was an Airbus. ""You want to fly without your backpack or pay.."" ""so you want to leave it here"" and so on. Another flight with this company got cancelled. I will fly Aeromexico whenever possible instead, the cost is the same in the end. The plane was a new Airbus320neo.",no
austrian-airlines,A320neo,Solo Leisure,Economy Class,February 2021,2.0,3.0,1.0,,,1,"  Make sure you comply with their baggage policy, weight and size. They check just before boarding at the gate. Better pay beforehand, the rates should be better. My backpack was a few cm to big and the extra payment was almost equal to the ticket price itself (850 pesos). The viva employee became aggressive right away, I even didn't complain. I knew my backback was too big (it has a metal frame) though it fits even in the smaller Embraer planes and this was an Airbus. ""You want to fly without your backpack or pay.."" ""so you want to leave it here"" and so on. Another flight with this company got cancelled. I will fly Aeromexico whenever possible instead, the cost is the same in the end. The plane was a new Airbus320neo.",no
austrian-airlines,A320neo,Solo Leisure,Economy Class,February 2021,2.0,3.0,1.0,,,1,"  Make sure you comply with their baggage policy, weight and size. They check just before boarding at the gate. Better pay beforehand, the rates should be better. My backpack was a few cm to big and the extra payment was almost equal to the ticket price itself (850 pesos). The viva employee became aggressive right away, I even didn't complain. I knew my backback was too big (it has a metal frame) though it fits even in the smaller Embraer planes and this was an Airbus. ""You want to fly without your backpack or pay.."" ""so you want to leave it here"" and so on. Another flight with this company got cancelled. I will fly Aeromexico whenever possible instead, the cost is the same in the end. The plane was a new Airbus320neo.",no
austrian-airlines,A320neo,Solo Leisure,Economy Class,February 2021,2.0,3.0,1.0,,,1,"  Make sure you comply with their baggage policy, weight and size. They check just before boarding at the gate. Better pay beforehand, the rates should be better. My backpack was a few cm to big and the extra payment was almost equal to the ticket price itself (850 pesos). The viva employee became aggressive right away, I even didn't complain. I knew my backback was too big (it has a metal frame) though it fits even in the smaller Embraer planes and this was an Airbus. ""You want to fly without your backpack or pay.."" ""so you want to leave it here"" and so on. Another flight with this company got cancelled. I will fly Aeromexico whenever possible instead, the cost is the same in the end. The plane was a new Airbus320neo.",no
austrian-airlines,A320neo,Solo Leisure,Economy Class,February 2021,2.0,3.0,1.0,,,1,"  Make sure you comply with their baggage policy, weight and size. They check just before boarding at the gate. Better pay beforehand, the rates should be better. My backpack was a few cm to big and the extra payment was almost equal to the ticket price itself (850 pesos). The viva employee became aggressive right away, I even didn't complain. I knew my backback was too big (it has a metal frame) though it fits even in the smaller Embraer planes and this was an Airbus. ""You want to fly without your backpack or pay.."" ""so you want to leave it here"" and so on. Another flight with this company got cancelled. I will fly Aeromexico whenever possible instead, the cost is the same in the end. The plane was a new Airbus320neo.",no
austrian-airlines,A320neo,Solo Leisure,Economy Class,February 2021,2.0,3.0,1.0,,,1,"  Make sure you comply with their baggage policy, weight and size. They check just before boarding at the gate. Better pay beforehand, the rates should be better. My backpack was a few cm to big and the extra payment was almost equal to the ticket price itself (850 pesos). The viva employee became aggressive right away, I even didn't complain. I knew my backback was too big (it has a metal frame) though it fits even in the smaller Embraer planes and this was an Airbus. ""You want to fly without your backpack or pay.."" ""so you want to leave it here"" and so on. Another flight with this company got cancelled. I will fly Aeromexico whenever possible instead, the cost is the same in the end. The plane was a new Airbus320neo.",no
austrian-airlines,A320neo,Solo Leisure,Economy Class,February 2021,2.0,3.0,1.0,,,1,"  Make sure you comply with their baggage policy, weight and size. They check just before boarding at the gate. Better pay beforehand, the rates should be better. My backpack was a few cm to big and the extra payment was almost equal to the ticket price itself (850 pesos). The viva employee became aggressive right away, I even didn't complain. I knew my backback was too big (it has a metal frame) though it fits even in the smaller Embraer planes and this was an Airbus. ""You want to fly without your backpack or pay.."" ""so you want to leave it here"" and so on. Another flight with this company got cancelled. I will fly Aeromexico whenever possible instead, the cost is the same in the end. The plane was a new Airbus320neo.",no
austrian-airlines,A320neo,Solo Leisure,Economy Class,February 2021,2.0,3.0,1.0,,,1,"  Make sure you comply with their baggage policy, weight and size. They check just before boarding at the gate. Better pay beforehand, the rates should be better. My backpack was a few cm to big and the extra payment was almost equal to the ticket price itself (850 pesos). The viva employee became aggressive right away, I even didn't complain. I knew my backback was too big (it has a metal frame) though it fits even in the smaller Embraer planes and this was an Airbus. ""You want to fly without your backpack or pay.."" ""so you want to leave it here"" and so on. Another flight with this company got cancelled. I will fly Aeromexico whenever possible instead, the cost is the same in the end. The plane was a new Airbus320neo.",no
austrian-airlines,A320neo,Solo Leisure,Economy Class,February 2021,2.0,3.0,1.0,,,1,"  Make sure you comply with their baggage policy, weight and size. They check just before boarding at the gate. Better pay beforehand, the rates should be better. My backpack was a few cm to big and the extra payment was almost equal to the ticket price itself (850 pesos). The viva employee became aggressive right away, I even didn't complain. I knew my backback was too big (it has a metal frame) though it fits even in the smaller Embraer planes and this was an Airbus. ""You want to fly without your backpack or pay.."" ""so you want to leave it here"" and so on. Another flight with this company got cancelled. I will fly Aeromexico whenever possible instead, the cost is the same in the end. The plane was a new Airbus320neo.",no
austrian-airlines,A320neo,Solo Leisure,Economy Class,February 2021,2.0,3.0,1.0,,,1,"  Make sure you comply with their baggage policy, weight and size. They check just before boarding at the gate. Better pay beforehand, the rates should be better. My backpack was a few cm to big and the extra payment was almost equal to the ticket price itself (850 pesos). The viva employee became aggressive right away, I even didn't complain. I knew my backback was too big (it has a metal frame) though it fits even in the smaller Embraer planes and this was an Airbus. ""You want to fly without your backpack or pay.."" ""so you want to leave it here"" and so on. Another flight with this company got cancelled. I will fly Aeromexico whenever possible instead, the cost is the same in the end. The plane was a new Airbus320neo.",no
austrian-airlines,A320neo,Solo Leisure,Economy Class,February 2021,2.0,3.0,1.0,,,1,"  Make sure you comply with their baggage policy, weight and size. They check just before boarding at the gate. Better pay beforehand, the rates should be better. My backpack was a few cm to big and the extra payment was almost equal to the ticket price itself (850 pesos). The viva employee became aggressive right away, I even didn't complain. I knew my backback was too big (it has a metal frame) though it fits even in the smaller Embraer planes and this was an Airbus. ""You want to fly without your backpack or pay.."" ""so you want to leave it here"" and so on. Another flight with this company got cancelled. I will fly Aeromexico whenever possible instead, the cost is the same in the end. The plane was a new Airbus320neo.",no
austrian-airlines,A320neo,Solo Leisure,Economy Class,February 2021,2.0,3.0,1.0,,,1,"  Make sure you comply with their baggage policy, weight and size. They check just before boarding at the gate. Better pay beforehand, the rates should be better. My backpack was a few cm to big and the extra payment was almost equal to the ticket price itself (850 pesos). The viva employee became aggressive right away, I even didn't complain. I knew my backback was too big (it has a metal frame) though it fits even in the smaller Embraer planes and this was an Airbus. ""You want to fly without your backpack or pay.."" ""so you want to leave it here"" and so on. Another flight with this company got cancelled. I will fly Aeromexico whenever possible instead, the cost is the same in the end. The plane was a new Airbus320neo.",no
austrian-airlines,A320neo,Solo Leisure,Economy Class,February 2021,2.0,3.0,1.0,,,1,"  Make sure you comply with their baggage policy, weight and size. They check just before boarding at the gate. Better pay beforehand, the rates should be better. My backpack was a few cm to big and the extra payment was almost equal to the ticket price itself (850 pesos). The viva employee became aggressive right away, I even didn't complain. I knew my backback was too big (it has a metal frame) though it fits even in the smaller Embraer planes and this was an Airbus. ""You want to fly without your backpack or pay.."" ""so you want to leave it here"" and so on. Another flight with this company got cancelled. I will fly Aeromexico whenever possible instead, the cost is the same in the end. The plane was a new Airbus320neo.",no
austrian-airlines,A320neo,Solo Leisure,Economy Class,February 2021,2.0,3.0,1.0,,,1,"  Make sure you comply with their baggage policy, weight and size. They check just before boarding at the gate. Better pay beforehand, the rates should be better. My backpack was a few cm to big and the extra payment was almost equal to the ticket price itself (850 pesos). The viva employee became aggressive right away, I even didn't complain. I knew my backback was too big (it has a metal frame) though it fits even in the smaller Embraer planes and this was an Airbus. ""You want to fly without your backpack or pay.."" ""so you want to leave it here"" and so on. Another flight with this company got cancelled. I will fly Aeromexico whenever possible instead, the cost is the same in the end. The plane was a new Airbus320neo.",no
austrian-airlines,A320neo,Solo Leisure,Economy Class,February 2021,2.0,3.0,1.0,,,1,"  Make sure you comply with their baggage policy, weight and size. They check just before boarding at the gate. Better pay beforehand, the rates should be better. My backpack was a few cm to big and the extra payment was almost equal to the ticket price itself (850 pesos). The viva employee became aggressive right away, I even didn't complain. I knew my backback was too big (it has a metal frame) though it fits even in the smaller Embraer planes and this was an Airbus. ""You want to fly without your backpack or pay.."" ""so you want to leave it here"" and so on. Another flight with this company got cancelled. I will fly Aeromexico whenever possible instead, the cost is the same in the end. The plane was a new Airbus320neo.",no
austrian-airlines,A320neo,Solo Leisure,Economy Class,February 2021,2.0,3.0,1.0,,,1,"  Make sure you comply with their baggage policy, weight and size. They check just before boarding at the gate. Better pay beforehand, the rates should be better. My backpack was a few cm to big and the extra payment was almost equal to the ticket price itself (850 pesos). The viva employee became aggressive right away, I even didn't complain. I knew my backback was too big (it has a metal frame) though it fits even in the smaller Embraer planes and this was an Airbus. ""You want to fly without your backpack or pay.."" ""so you want to leave it here"" and so on. Another flight with this company got cancelled. I will fly Aeromexico whenever possible instead, the cost is the same in the end. The plane was a new Airbus320neo.",no
austrian-airlines,A320neo,Solo Leisure,Economy Class,February 2021,2.0,3.0,1.0,,,1,"  Make sure you comply with their baggage policy, weight and size. They check just before boarding at the gate. Better pay beforehand, the rates should be better. My backpack was a few cm to big and the extra payment was almost equal to the ticket price itself (850 pesos). The viva employee became aggressive right away, I even didn't complain. I knew my backback was too big (it has a metal frame) though it fits even in the smaller Embraer planes and this was an Airbus. ""You want to fly without your backpack or pay.."" ""so you want to leave it here"" and so on. Another flight with this company got cancelled. I will fly Aeromexico whenever possible instead, the cost is the same in the end. The plane was a new Airbus320neo.",no
austrian-airlines,A320neo,Solo Leisure,Economy Class,February 2021,2.0,3.0,1.0,,,1,"  Make sure you comply with their baggage policy, weight and size. They check just before boarding at the gate. Better pay beforehand, the rates should be better. My backpack was a few cm to big and the extra payment was almost equal to the ticket price itself (850 pesos). The viva employee became aggressive right away, I even didn't complain. I knew my backback was too big (it has a metal frame) though it fits even in the smaller Embraer planes and this was an Airbus. ""You want to fly without your backpack or pay.."" ""so you want to leave it here"" and so on. Another flight with this company got cancelled. I will fly Aeromexico whenever possible instead, the cost is the same in the end. The plane was a new Airbus320neo.",no
austrian-airlines,A320neo,Solo Leisure,Economy Class,February 2021,2.0,3.0,1.0,,,1,"  Make sure you comply with their baggage policy, weight and size. They check just before boarding at the gate. Better pay beforehand, the rates should be better. My backpack was a few cm to big and the extra payment was almost equal to the ticket price itself (850 pesos). The viva employee became aggressive right away, I even didn't complain. I knew my backback was too big (it has a metal frame) though it fits even in the smaller Embraer planes and this was an Airbus. ""You want to fly without your backpack or pay.."" ""so you want to leave it here"" and so on. Another flight with this company got cancelled. I will fly Aeromexico whenever possible instead, the cost is the same in the end. The plane was a new Airbus320neo.",no
austrian-airlines,A320neo,Solo Leisure,Economy Class,February 2021,2.0,3.0,1.0,,,1,"  Make sure you comply with their baggage policy, weight and size. They check just before boarding at the gate. Better pay beforehand, the rates should be better. My backpack was a few cm to big and the extra payment was almost equal to the ticket price itself (850 pesos). The viva employee became aggressive right away, I even didn't complain. I knew my backback was too big (it has a metal frame) though it fits even in the smaller Embraer planes and this was an Airbus. ""You want to fly without your backpack or pay.."" ""so you want to leave it here"" and so on. Another flight with this company got cancelled. I will fly Aeromexico whenever possible instead, the cost is the same in the end. The plane was a new Airbus320neo.",no
austrian-airlines,A320neo,Solo Leisure,Economy Class,February 2021,2.0,3.0,1.0,,,1,"  Make sure you comply with their baggage policy, weight and size. They check just before boarding at the gate. Better pay beforehand, the rates should be better. My backpack was a few cm to big and the extra payment was almost equal to the ticket price itself (850 pesos). The viva employee became aggressive right away, I even didn't complain. I knew my backback was too big (it has a metal frame) though it fits even in the smaller Embraer planes and this was an Airbus. ""You want to fly without your backpack or pay.."" ""so you want to leave it here"" and so on. Another flight with this company got cancelled. I will fly Aeromexico whenever possible instead, the cost is the same in the end. The plane was a new Airbus320neo.",no
austrian-airlines,A320neo,Solo Leisure,Economy Class,February 2021,2.0,3.0,1.0,,,1,"  Make sure you comply with their baggage policy, weight and size. They check just before boarding at the gate. Better pay beforehand, the rates should be better. My backpack was a few cm to big and the extra payment was almost equal to the ticket price itself (850 pesos). The viva employee became aggressive right away, I even didn't complain. I knew my backback was too big (it has a metal frame) though it fits even in the smaller Embraer planes and this was an Airbus. ""You want to fly without your backpack or pay.."" ""so you want to leave it here"" and so on. Another flight with this company got cancelled. I will fly Aeromexico whenever possible instead, the cost is the same in the end. The plane was a new Airbus320neo.",no
